SampleID,testID,ParticleTypeDefinitionID,ParticleSubTypeCategoryID,Value
52332,240,10,3,1
52332,240,10,4,1
52332,240,10,5,2
52332,240,10,6,1
52332,240,10,7,2
52332,240,10,8,1
52332,240,11,1,1
52332,240,11,2,1
52332,240,11,3,1
52332,240,11,4,1
52332,240,11,5,2
52332,240,11,6,4
52332,240,11,7,1
52332,240,11,8,3
52332,240,16,1,1
52332,240,16,2,1
52332,240,16,3,1
52332,240,16,4,1
52332,240,16,5,5
52332,240,16,6,8
52332,240,16,7,7
52332,240,16,8,8
52474,180,3,1,2
52474,180,3,2,1
52474,180,3,3,2
