sampleID,anti_oxidant,oxidation,H2O,zddp,soot,fuel_dilution,mixture,NLGI,contam
10764,1,0,3588,NULL,NULL,NULL,NULL,NULL,2.622
10776,26,0,3157,NULL,NULL,NULL,NULL,NULL,4.587
10779,23,0,2778,NULL,NULL,NULL,NULL,NULL,4.449
10789,16,0,3093,NULL,NULL,NULL,NULL,NULL,3.331
10793,20,0,2700,NULL,NULL,NULL,NULL,NULL,2.427
10795,26,0,2686,NULL,NULL,NULL,NULL,NULL,2.746
10799,17,0,3470,NULL,NULL,NULL,NULL,NULL,2.266
10804,23,0,3209,NULL,NULL,NULL,NULL,NULL,4.175
10807,20,0,3480,NULL,NULL,NULL,NULL,NULL,4.395
10808,20,0,3832,NULL,NULL,NULL,NULL,NULL,2.696
10814,39,0,3243,NULL,NULL,NULL,NULL,NULL,4.456
10815,10,0,3240,NULL,NULL,NULL,NULL,NULL,4.416
10816,11,0,3018,NULL,NULL,NULL,NULL,NULL,3.981
10821,33,0,3734,NULL,NULL,NULL,NULL,NULL,3.682
10824,15,0,3093,NULL,NULL,NULL,NULL,NULL,4.278
10827,3,0,3499,NULL,NULL,NULL,NULL,NULL,4.128
10830,21,0,3341,NULL,NULL,NULL,NULL,NULL,1.494
10834,30,0,3219,NULL,NULL,NULL,NULL,NULL,3.91
10840,10,0,2808,NULL,NULL,NULL,NULL,NULL,4.526
10865,36,0,3704,NULL,NULL,NULL,NULL,NULL,3.703
10870,8,0,2861,NULL,NULL,NULL,NULL,NULL,4.077
10873,18,0,3336,NULL,NULL,NULL,NULL,NULL,4.629
10882,54,0,3868,NULL,NULL,NULL,NULL,NULL,4.1
10886,9,0,2960,NULL,NULL,NULL,NULL,NULL,4.205
10916,31,0,3839,NULL,NULL,NULL,NULL,NULL,3.66
10928,6,0,3491,NULL,NULL,NULL,NULL,NULL,3.939
11000,13,0,2732,NULL,NULL,NULL,NULL,NULL,3.368
11001,43,0,3698,NULL,NULL,NULL,NULL,NULL,4.098
11434,34,0,1704,NULL,NULL,NULL,NULL,NULL,3.795
11470,34,0,1517,NULL,NULL,NULL,NULL,NULL,5.831
11485,44,0,1367,NULL,NULL,NULL,NULL,NULL,5.167
11490,15,0,1895,NULL,NULL,NULL,NULL,NULL,4.06
11509,15,0,1386,NULL,NULL,NULL,NULL,NULL,4.435
11513,61,0,1071,NULL,NULL,NULL,NULL,NULL,2.62
11572,28,0,1615,NULL,NULL,NULL,NULL,NULL,6.32
11600,36,0,1038,NULL,NULL,NULL,NULL,NULL,1.765
11626,26,0,2245,NULL,NULL,NULL,NULL,NULL,3.969
11635,32,0,2013,NULL,NULL,NULL,NULL,NULL,5.94
11637,59,0,3332,NULL,NULL,NULL,NULL,NULL,4.158
11758,112,0,1600,NULL,NULL,NULL,NULL,NULL,2.609
11762,115,0,1519,NULL,NULL,NULL,NULL,NULL,3.887
11767,34,0,1452,NULL,NULL,NULL,NULL,NULL,4.496
11776,10,0,1287,NULL,NULL,NULL,NULL,NULL,4.052
11782,33,0,1551,NULL,NULL,NULL,NULL,NULL,4.525
11784,35,0,1232,NULL,NULL,NULL,NULL,NULL,4.006
11793,39,0,1032,NULL,NULL,NULL,NULL,NULL,1.027
11874,30,0,1701,NULL,NULL,NULL,NULL,NULL,3.914
11877,66,0,1723,NULL,NULL,NULL,NULL,NULL,3.43
11880,60,0,1650,NULL,NULL,NULL,NULL,NULL,2.914
11913,38,0,1470,NULL,NULL,NULL,NULL,NULL,3.655
11915,32,0,1312,NULL,NULL,NULL,NULL,NULL,4.165
12026,11,0,2232,NULL,NULL,NULL,NULL,NULL,6.998
12030,16,0,1745,NULL,NULL,NULL,NULL,NULL,6.894
12050,23,0,1474,NULL,NULL,NULL,NULL,NULL,8.776
12051,22,0,2205,NULL,NULL,NULL,NULL,NULL,5.002
12055,18,0,2037,NULL,NULL,NULL,NULL,NULL,4.738
12056,28,0,1650,NULL,NULL,NULL,NULL,NULL,7.296
12058,19,0,2152,NULL,NULL,NULL,NULL,NULL,4.948
12060,39,0,1347,NULL,NULL,NULL,NULL,NULL,6.277
12064,28,0,1159,NULL,NULL,NULL,NULL,NULL,8.001
12066,41,0,1975,NULL,NULL,NULL,NULL,NULL,8.783
12081,16,0,1697,NULL,NULL,NULL,NULL,NULL,6.262
12124,32,0,2178,NULL,NULL,NULL,NULL,NULL,4.158
12143,27,0,1025,NULL,NULL,NULL,NULL,NULL,9.102
12146,24,0,1276,NULL,NULL,NULL,NULL,NULL,7.357
12163,37,0,1923,NULL,NULL,NULL,NULL,NULL,5.607
12165,51,0,1409,NULL,NULL,NULL,NULL,NULL,6.908
12169,107,0,2345,NULL,NULL,NULL,NULL,NULL,6.79
12185,31,0,1587,NULL,NULL,NULL,NULL,NULL,4.782
12187,50,0,1800,NULL,NULL,NULL,NULL,NULL,4.938
12192,24,0,1923,NULL,NULL,NULL,NULL,NULL,7.233
12194,40,0,1249,NULL,NULL,NULL,NULL,NULL,8.661
12199,38,0,1617,NULL,NULL,NULL,NULL,NULL,9.173
12201,45,0,1600,NULL,NULL,NULL,NULL,NULL,8.152
12205,6,0,3658,NULL,NULL,NULL,NULL,NULL,3.371
12214,17,0,1436,NULL,NULL,NULL,NULL,NULL,6.429
12218,16,0,1608,NULL,NULL,NULL,NULL,NULL,9.452
12231,17,0,1569,NULL,NULL,NULL,NULL,NULL,9.275
12235,23,0,1353,NULL,NULL,NULL,NULL,NULL,8.757
12237,71,0,1654,NULL,NULL,NULL,NULL,NULL,7.466
12255,13,0,2053,NULL,NULL,NULL,NULL,NULL,10.54
12256,23,0,2242,NULL,NULL,NULL,NULL,NULL,9.99
12262,20,0,2157,NULL,NULL,NULL,NULL,NULL,9.562
12265,42,0,2075,NULL,NULL,NULL,NULL,NULL,8.328
12269,27,0,2046,NULL,NULL,NULL,NULL,NULL,11.798
12272,0,0,134,NULL,NULL,NULL,NULL,NULL,0.672
12276,6,0,125,NULL,NULL,NULL,NULL,NULL,0.316
12291,1,0,0,NULL,NULL,NULL,NULL,NULL,0.333
12303,23,0,116,NULL,NULL,NULL,NULL,NULL,0.066
12348,2,0,0,NULL,NULL,NULL,NULL,NULL,0.256
12355,16,0,0,NULL,NULL,NULL,NULL,NULL,0.399
12362,9,0,158,NULL,NULL,NULL,NULL,NULL,0.586
12370,3,0,163,NULL,NULL,NULL,NULL,NULL,0.465
12379,4,0,99,NULL,NULL,NULL,NULL,NULL,0.302
12411,3,0,200,NULL,NULL,NULL,NULL,NULL,0.376
12415,13,0,213,NULL,NULL,NULL,NULL,NULL,0.348
13077,22,0,0,NULL,NULL,NULL,NULL,NULL,0.642
13082,0,0,41,NULL,NULL,NULL,NULL,NULL,1.324
13095,80,0,270,NULL,NULL,NULL,NULL,NULL,0.709
13098,38,0,132,NULL,NULL,NULL,NULL,NULL,0.637
13100,69,0,143,NULL,NULL,NULL,NULL,NULL,0.777
13102,43,0,178,NULL,NULL,NULL,NULL,NULL,0.78
13108,45,0,616,NULL,NULL,NULL,NULL,NULL,0.99
13109,76,0,0,NULL,NULL,NULL,NULL,NULL,0.618
13114,62,0,10,NULL,NULL,NULL,NULL,NULL,0.571
13115,77,0,0,NULL,NULL,NULL,NULL,NULL,0.656
13117,27,0,0,NULL,NULL,NULL,NULL,NULL,0.619
13123,102,0,539,NULL,NULL,NULL,NULL,NULL,1.238
13141,1,0,438,NULL,NULL,NULL,NULL,NULL,3.502
13145,42,0,314,NULL,NULL,NULL,NULL,NULL,3.214
13221,3,0,327,NULL,NULL,NULL,NULL,NULL,2.769
13225,0,0,350,NULL,NULL,NULL,NULL,NULL,3.18
13227,1,0,264,NULL,NULL,NULL,NULL,NULL,2.836
