ID,group_name,valueat,tagNumber,component,location,exclude,excluded_on,fname
536,"MT SMC-04 LS                            ",41,1JMTNHV0380,099,040,NULL,NULL,
537,"MT SMC-04 LS                            ",41,1JMTNHV0381,099,040,NULL,NULL,
538,"MT SMC-04 LS                            ",41,1JMTNHV0388A,099,040,NULL,NULL,
539,"MT SMC-04 LS                            ",41,1JMTNHV0388B,099,040,NULL,NULL,
540,"MT SMC-04 LS                            ",41,1JMTNHV0388C,099,040,NULL,NULL,
541,"MT SMC-04 LS                            ",41,1JMTNHV0388D,099,040,NULL,NULL,
542,"MT SMC-04 LS                            ",41,1JMTNHV0389A,099,040,NULL,NULL,
2991,"chem addition                           ",167,2MSCNP11,138,009,NULL,NULL,NULL
2560,"Instrument Air                          ",127,1MIANC01A,003,006,NULL,NULL,NULL
5058,"equipment hatch hoist                   ",251,2JZCNE0202,159,007,NULL,NULL,
4624,"LPSI Upper Mtr bearing                  ",148,3MSIBP01,002,003,NULL,NULL,NULL
2543,"A F Mtr driven Mtr                      ",14,2MAFNP01,002,001,NULL,NULL,
4916,"A F Mtr driven Mtr                      ",14,2MAFNP01,002,002,NULL,NULL,NULL
3621,"Air Removal Pmp                         ",11,2MARNP01C,001,002,NULL,NULL,NULL
2561,"Instrument Air                          ",127,1MIANC01B,003,006,NULL,NULL,
2562,"Instrument Air                          ",127,1MIANC01C,003,006,NULL,NULL,
2564,"Instrument Air                          ",127,2MIANC01B,003,006,NULL,NULL,
2565,"Instrument Air                          ",127,2MIANC01C,003,006,NULL,NULL,
3756,"cask crane bridge drive                 ",193,2MZFNG01,034,047,NULL,NULL,
2568,"Instrument Air                          ",127,3MIANC01C,003,006,NULL,NULL,
4625,"LPSI Upper Mtr bearing                  ",148,2MSIAP01,002,003,NULL,NULL,NULL
2610,"RCP Mtr Brgs                            ",130,2MRCEP01A,002,004,NULL,NULL,
3975,"RCP Filters                             ",131,3MRCEP01B,001,172,NULL,NULL,NULL
3259,"fuel crane bridge reducers              ",177,3MZFNG02,240,007,NULL,NULL,NULL
3004,"PC Mtr Lower                            ",134,2MPWNP01B,002,004,NULL,NULL,NULL
3427,"V - SMB-00 Gear 8910 mild               ",54,2JSGEHV0042,097,040,NULL,NULL,NULL
2921,"Bridge Drive Motors                     ",161,2MZCNG01,038,009,NULL,NULL,
2685,"Turb Stor Tank                          ",136,2MOSNT01A,011,060,NULL,NULL,
2686,"Turb Stor Tank                          ",136,2MOSNT01B,011,060,NULL,NULL,
2688,"Turb Stor Tank                          ",136,3MOSNT01B,011,060,NULL,NULL,
2714,"Nuc Cool Pmp                            ",139,3MNCNP01A,001,001,NULL,NULL,
4627,"LPSI Upper Mtr bearing                  ",148,1MSIBP01,002,003,NULL,NULL,
5059,"equipment hatch hoist                   ",251,3JZCNE0201,159,007,NULL,NULL,
2746,"Polar Crane Bridge Drive                ",142,1MZCNG01,040,009,NULL,NULL,
2747,"Polar Crane Bridge Drive                ",142,1MZCNG01,041,009,NULL,NULL,
2749,"Polar Crane Bridge Drive                ",142,2MZCNG01,042,009,NULL,NULL,
2750,"Polar Crane Bridge Drive                ",142,2MZCNG01,040,009,NULL,NULL,
5143,"Polar Crane Bridge Drive                ",142,2MZCNG01,041,009,NULL,NULL,NULL
3762,"FUEL BLDG 5 TON HOIST                   ",194,-3MZFNG03,107,107,NULL,NULL,NULL
3873,"GT turbine res                          ",196,AMGTNK01B,004,192,NULL,NULL,
2755,"Polar Crane Bridge Drive                ",142,3MZCNG01,041,009,NULL,NULL,
3429,"V - SMB-00 Gear 8910 mild               ",54,2JSGEHV0048,097,040,NULL,NULL,
3994,"Cont. Spray Mtr Upper                   ",149,2MSIBP03,002,003,NULL,NULL,NULL
5332,"68 ISO hydraulic                        ",263,3MZCNG01,144,040,NULL,NULL,NULL
2761,"V - SMB-3 pinion 8910                   ",111,1JSIAUV0651,002,066,NULL,NULL,NULL
2770,"V - 7A/43 gearbox                       ",50,1JWCNHV0103,097,040,NULL,NULL,NULL
2771,"V - 7NA1-43 : 8910 Mild                 ",46,1JGRAUV0001,097,040,NULL,NULL,NULL
4023,"FW Centrifuge                           ",143,1MOSNF02,031,009,NULL,NULL,NULL
2984,"FW Centrifuge                           ",143,3MOSNF02,031,009,NULL,NULL,NULL
2806,"V - SMB -000 HBC-0 Device               ",146,2MHCNM01A,103,069,NULL,NULL,
4761,"Water Rec - Rake Gear                   ",234,AWFCNX01B,177,009,NULL,NULL,
3705,"Cranes - omala 220                      ",191,-1MZFNG01,033,144,NULL,NULL,
3452,"Condensate Mtr Upper                    ",10,3MCDNP01B,002,003,NULL,NULL,NULL
3706,"Cranes - omala 220                      ",191,-1MZFNG01,033,145,NULL,NULL,
2871,"Cont. Spray Mtr Lower                   ",150,3MSIBP03,002,004,NULL,NULL,NULL
3707,"Cranes - omala 220                      ",191,-2MZFNG01,054,230,NULL,NULL,
3708,"Cranes - omala 220                      ",191,-2MZFNG01,054,231,NULL,NULL,
2889,"V - EB-30 gear                          ",87,1JCDNHV0002,097,040,NULL,NULL,NULL
2892,"V - 40A/29 - gear -mild                 ",44,1JCDNHV0033,097,040,NULL,NULL,NULL
2922,"Bridge Drive Motors                     ",161,2MZCNG01,036,009,NULL,NULL,
2923,"Bridge Drive Motors                     ",161,2MZCNG01,037,009,NULL,NULL,
2924,"Bridge Drive Motors                     ",161,3MZCNG01,035,009,NULL,NULL,
2925,"Bridge Drive Motors                     ",161,3MZCNG01,038,009,NULL,NULL,
2926,"Bridge Drive Motors                     ",161,3MZCNG01,036,009,NULL,NULL,
2927,"Bridge Drive Motors                     ",161,3MZCNG01,037,009,NULL,NULL,
3890,"                                        ",197,1JNCNUV0103,097,040,NULL,NULL,NULL
2963,"Micro Drive                             ",165,1MZCNG01,226,007,NULL,NULL,NULL
3730,"Cranes - omala 220                      ",191,-2MZFNG01,033,145,NULL,NULL,NULL
3710,"Cranes - omala 220                      ",191,-2MZFNG01,033,144,NULL,NULL,
2968,"Aux Hoist                               ",166,1MZTNG01,056,113,NULL,NULL,
3731,"Cranes - omala 220                      ",191,-3MZFNG01,054,231,NULL,NULL,NULL
5125,"Circ Wtr Mtrs                           ",4,2MCWNP01C,002,003,NULL,NULL,NULL
2972,"Aux Hoist                               ",166,3MZCNG01,054,113,NULL,NULL,
3712,"Cranes - omala 220                      ",191,-2MZFNG01,052,204,NULL,NULL,
