ID,testID,Na,Mo,Mg,P,B,H,Cr,Ca,Ni,Ag,Cu,Sn,Al,Mn,Pb,Fe,Si,Ba,Sb,Zn,trialDate,trialNum
22296,30,0,0,0,0,0,7318,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-10 00:00:00.000,1
22298,30,1,0,0,0,0,6982,0,3,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-10 00:00:00.000,1
22299,30,0,0,0,0,0,7195,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,2002-12-10 00:00:00.000,1
22300,30,0,0,0,0,0,7495,0,0,0,0,0,0,0,0,0,0,1,0,NULL,1,2002-12-10 00:00:00.000,1
22301,30,0,0,0,0,0,7077,0,0,0,0,0,0,0,0,0,0,1,0,NULL,1,2002-12-10 00:00:00.000,1
22302,30,0,0,0,172,0,7234,0,49,0,0,1,0,0,0,0,0,0,0,NULL,325,2002-12-10 00:00:00.000,1
22303,30,7,55,173,880,84,6829,0,1664,0,0,7,0,1,0,12,2,3,0,NULL,1044,2002-12-10 00:00:00.000,1
22317,30,259,0,0,54585,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-10 00:00:00.000,1
22318,30,3,61,168,1008,85,6756,0,1677,0,0,1,0,1,0,0,4,2,0,NULL,1103,2002-12-10 00:00:00.000,1
22319,30,0,0,0,1,0,7095,0,3,0,0,0,0,0,0,0,0,0,0,NULL,2,2002-12-10 00:00:00.000,1
22320,30,0,0,0,0,0,7153,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-10 00:00:00.000,1
22254,30,0,0,0,3,0,8295,0,0,0,0,0,0,0,0,0,0,0,5,NULL,1,2002-12-04 00:00:00.000,1
22257,30,6,0,1,318,23,8585,0,9,1,0,31,0,3,2,4,31,5,6,NULL,132,2002-12-04 00:00:00.000,1
22265,30,18228,0,910,7,1,6396,7,56618,3,0,20,0,90,7,0,67,327,0,NULL,162,2002-12-04 00:00:00.000,1
22266,30,14927,0,690,33,1,7204,2,30310,1,0,7,0,93,3,8,84,161,0,NULL,139,2002-12-04 00:00:00.000,1
22274,30,0,0,0,0,0,8367,0,1,0,0,0,0,0,0,1,1,6,0,NULL,3,2002-12-05 00:00:00.000,1
22275,30,1,0,0,0,0,8227,0,1,0,0,0,0,0,0,1,2,4,1,NULL,2,2002-12-05 00:00:00.000,1
22276,30,0,0,0,3,0,8581,0,0,0,0,0,0,0,0,0,2,14,3,NULL,2,2002-12-05 00:00:00.000,1
22280,30,0,0,0,1,0,7774,0,2,0,0,0,0,0,0,0,18,3,0,NULL,0,2002-12-06 00:00:00.000,1
22288,30,0.3,0,0,0,0,7590,0,0.3,0,0,0,0,0,0,0,0.1,5,0,NULL,0.2,2002-12-10 00:00:00.000,1
22305,30,1,0,0,0,0,7380,0,3,0,0,0,0,0,0,0,1,1,0,NULL,4,2002-12-10 00:00:00.000,1
22321,30,0,0,0,73,0,6900,0,2,0,0,10,1,0,0,0,4,3,0,NULL,2,2002-12-10 00:00:00.000,1
22322,30,0,0,0,0,0,6742,0,1,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-10 00:00:00.000,1
22323,30,0,0,0,0,0,6957,0,0,0,0,0,0,0,0,0,0,1,0,NULL,0,2002-12-10 00:00:00.000,1
22324,30,0,0,0,0,0,7401,0,0,0,0,0,0,0,0,0,0,0,0,NULL,3,2002-12-10 00:00:00.000,1
22325,30,0,0,0,0,0,6941,0,1,0,0,0,0,0,0,0,0,0,0,NULL,2,2002-12-10 00:00:00.000,1
22258,30,3,68,250,1009,90,7898,3,1721,0,0,4,0,1,0,4,7,4,4,NULL,1127,2002-12-04 00:00:00.000,1
22259,30,1,0,0,3,0,8364,0,2,0,0,1,2,0,0,1,2,3,3,NULL,3,2002-12-04 00:00:00.000,1
22260,30,0,0,0,1,0,7973,0,1,0,0,0,0,0,0,0,1,6,2,NULL,3,2002-12-04 00:00:00.000,1
22272,30,1,0,0,2,0,8551,0,1,0,0,0,0,0,0,0,5,8,4,NULL,2,2002-12-05 00:00:00.000,1
22268,30,1,0,0,0,0,8035,0,1,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-06 00:00:00.000,1
22282,30,0,0,0,0,0,8336,0,0,0,0,0,0,0,0,0,0,2,1,NULL,1,2002-12-06 00:00:00.000,1
22294,30,0,0,0,0,0,7278,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,2002-12-10 00:00:00.000,1
22326,30,2,0,0,649,0,6954,0,5,0,0,2,0,0,0,0,8,13,0,NULL,3,2002-12-10 00:00:00.000,1
22327,30,0,0,0,641,0,7027,0,3,0,0,0,0,0,0,0,2,14,0,NULL,1,2002-12-10 00:00:00.000,1
22331,30,12290,24,847,0,2,4524,16,18614,12,1,355,19,51,10,51,738,274,0,NULL,19120,2002-12-10 00:00:00.000,1
22245,40,1,0,1,6,1,4477,0,3,0,0,34,5,0,0,5,8,2,0,NULL,3,2002-12-12 00:00:00.000,1
22257,40,83,0,8,258,37,4466,5,78,32,0,279,4,79,12,23,699,55,56,NULL,153,2002-12-12 00:00:00.000,1
22271,40,14,0,4,19,0,4616,1,31,2,0,5,0,1,6,31,958,24,131,NULL,31,2002-12-12 00:00:00.000,1
22272,40,6,0,3,12,0,4697,0,13,0,0,2,0,0,1,14,172,14,42,NULL,9,2002-12-12 00:00:00.000,1
22281,40,4,0,1,2,0,4331,0,6,0,0,2,0,0,0,8,28,8,0,NULL,7,2002-12-12 00:00:00.000,1
22287,30,0,0,0,0,0,7441,0,0,0,0,0,0,0,0,0,0,2,0,NULL,0,2002-12-10 00:00:00.000,1
22247,40,5,0,1,23,0,4639,0,4,0,0,390,13,0,0,0,100,6,2,NULL,9,2002-12-12 00:00:00.000,1
22330,30,3801,9,152,0,3,4933,13,5703,7,0,64,0,20,6,16,1111,181,0,NULL,7371,2002-12-13 00:00:00.000,1
22333,30,252,0,214,48,0,3711,0,10536,0,0,475,0,5,0,0,31,63,0,NULL,1,2002-12-13 00:00:00.000,1
22334,30,7209,0,1008,97,0,4612,0,34379,0,0,5,0,88,0,140,93,243,0,NULL,6,2002-12-13 00:00:00.000,1
22332,30,0,3,4,0,26,2703,2,400,0,0,694,0,0,0,2,1,6,0,NULL,1,2002-12-13 00:00:00.000,1
22335,30,19165,11,826,0,3,3554,8,35804,8,1,7,42,151,8,17,121,251,0,NULL,4,2002-12-13 00:00:00.000,1
22336,30,14491,0,1597,130,0,4459,0,51536,0,0,116,0,46,1,0,82,158,0,NULL,107,2002-12-13 00:00:00.000,1
22342,30,0,0,0,56,0,7102,0,5,0,0,0,0,0,0,0,26,0,0,NULL,2,2002-12-13 00:00:00.000,1
22343,30,0,0,0,41,0,7303,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,2002-12-13 00:00:00.000,1
22346,30,0,0,0,0,0,6532,0,0,0,0,0,0,0,0,0,0,1,0,NULL,0,2002-12-13 00:00:00.000,1
22347,30,1,0,0,0,0,6870,0,1,0,0,0,0,0,0,0,0,1,0,NULL,0,2002-12-13 00:00:00.000,1
22348,30,0,0,0,0,0,6861,0,0,0,0,0,0,0,0,0,0,1,0,NULL,0,2002-12-13 00:00:00.000,1
22349,30,0,0,0,0,0,6839,0,0,0,0,0,0,0,0,0,0,1,0,NULL,0,2002-12-13 00:00:00.000,1
22362,30,0,0,0,0,0,6620,0,0,0,0,1,0,0,0,0,0,0,0,NULL,0,2002-12-13 00:00:00.000,1
22328,30,0,0,0,0,0,7195,0,1,0,0,0,0,0,0,0,0,1,0,NULL,2,2002-12-10 00:00:00.000,1
